symbol,price,date
ABEV3,16.58,02-21-2014
ABEV3,16.6,02-24-2014
ABEV3,16.6,02-25-2014
ABEV3,16.78,02-26-2014
ABEV3,16.89,02-27-2014
ABEV3,16.88,02-28-2014
ABEV3,16.8,03-05-2014
ABEV3,16.87,03-06-2014
ABEV3,16.76,03-07-2014
ABEV3,16.69,03-10-2014
ABEV3,16.7,03-11-2014
ABEV3,16.72,03-12-2014
ABEV3,16.6,03-13-2014
ABEV3,16.36,03-14-2014
ABEV3,16.67,03-17-2014
ABEV3,16.79,03-18-2014
ABEV3,16.77,03-19-2014
ABEV3,16.76,03-20-2014
ABEV3,16.66,03-21-2014
ABEV3,16.76,03-24-2014
ABEV3,16.74,03-25-2014
ABEV3,16.65,03-26-2014
ABEV3,17.05,03-27-2014
ABEV3,16.95,03-28-2014
ABEV3,16.95,03-31-2014
ABEV3,17.1,04-01-2014
ABEV3,17.3,04-02-2014
ABEV3,17.18,04-03-2014
ABEV3,16.9,04-04-2014
